День,,№,Время,24ИНФ1-1,,24ИНФ1-2,,24ИНФ1-3,,24ИНФ1-4,,24ИС1-1веб,,24ИС1-2веб,,24ИС1-3веб,,"24ИС-11-
1прогр",,"24ИС-11-
2прогр",,24СА1-1,,24СА1-2,,24СА1-3,,24СА-11,
,,,,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.
Понедельник,14.04.2025,1,09.00-10.30,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,ПРАКТИКА,,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",
,,2,"10.50-11.35                        
11.55-12.40","Физические основы и 
принципы связи
Будько В.А.",201,"Основы 
электротехники и 
чтение электрических 
схем
Полищук В.С.",410,"География
Маркелова И.С.",416,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Фирстова Е.Г.",212,"Математика
Ефимова О.И.",409,"Основы дизайн-
мышления
Климова Г.Л.",312,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Ганенко Е.А.",216,,,"Физическая культура
Огнев А.А.","спорт 
зал","Основы безопасности 
на производстве
Логинов Я.С.",304,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Кяшкин А.А.","спорт 
зал","Математика
Сутормина Е.П.",413,"Организация, 
принципы построения 
и функционирования 
КС
Чернышов О.В.",201
,,3,13.00-14.30,"Математика
Сутормина Е.П.",413,"Физические основы и 
принципы связи
Будько В.А.",410,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Воронина С.Ю.",Б-29,"Физика
Полищук В.С.",410,"Моделирование 
физических процессов 
в приложениях
Емелина Е.И.",103,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Ганенко Е.А.",216,"Проектный 
менеджмент в 
разработке и 
сопровождении ПО
Климова Г.Л.",312,,,"Разработка серверной 
и интерфейсной 
частей приложения 
(Backend, Frontend на 
Киселева С.В.",205,"Информатика
Фирстова Е.Г.",212,"Основы безопасности 
на производстве
Логинов Я.С.",304,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Кяшкин А.А.",413,"Безопасность 
компьютерных сетей
Изотов С.А.",А-29
,,4,14.50-16.20,"Основы интернета 
вещей
Чернышов О.В.",201,"Физика
Полищук В.С.",410,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Воронина С.Ю.",Б-29,"Физические основы и 
принципы связи
Будько В.А.",117,"Проектный 
менеджмент в 
разработке и 
сопровождении ПО
Климова Г.Л.",312,"Математика
Ефимова О.И.",409,"Основы безопасности 
и защиты Родины
Щербинин А.Н.",103,,,"Основы применения 
методов 
искусственного 
интеллекта в 
Киселева С.В.",205,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Кяшкин А.А.",Б-29,,,"Физическая культура
Огнев А.А.","спорт 
зал","История России
Калмыкова Е.И.",307
,,5,16.30-18.00,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Кокорин В.А.",116,,,"Физика
Полищук В.С.",410,"Основы интернета 
вещей
Будько В.А.",117,,,"Проектный 
менеджмент в 
разработке и 
сопровождении ПО
Климова Г.Л.",312,,,,,,,,,,,,,"Основы бережливого 
производства
Маркелова И.С.",416
Вторник,15.04.2025,1,09.00-10.30,"ОНЛАЙН           
Литература
Самарина Н.А.",,"ОНЛАЙН           
Литература
Самарина Н.А.",,"ОНЛАЙН           
Информатика
Фирстова Е.Г.",,"ОНЛАЙН           
Информатика
Фирстова Е.Г.",,"ОНЛАЙН           
История
Калмыкова Е.И.",,"ОНЛАЙН           
История
Калмыкова Е.И.",,"ОНЛАЙН           
История
Калмыкова Е.И.",,ПРАКТИКА,,"Технология работ по 
профессии рабочего 
Оператор ЭВМ и ВМ 
(Разработка 
Лутфулин Д.А.",107,"ОНЛАЙН           
Обществознание
Логинов Я.С.",,"ОНЛАЙН           
Обществознание
Логинов Я.С.",,"ОНЛАЙН           
Обществознание
Логинов Я.С.",,"Основы 
электротехники
Полищук В.С.",410
,,2,"10.50-11.35                        
11.55-12.40","ОНЛАЙН           
Обществознание
Логинов Я.С.",,"ОНЛАЙН           
Обществознание
Логинов Я.С.",,"ОНЛАЙН           
Литература
Самарина Н.А.",,"ОНЛАЙН           
Литература
Самарина Н.А.",,"ОНЛАЙН           
Биология
Першунина Е.В.",,"ОНЛАЙН           
Биология
Першунина Е.В.",,"ОНЛАЙН           
Биология
Першунина Е.В.",,,,"Иностранный язык в 
ПД
Шамина М.А.",310,"ОНЛАЙН           
История
Калмыкова Е.И.",,"ОНЛАЙН           
История
Калмыкова Е.И.",,"ОНЛАЙН           
История
Калмыкова Е.И.",,"Основы 
электротехники
Полищук В.С.",410
,,3,13.00-14.30,"ОБЖ
Щербинин А.Н.",ОНЛАЙН,"ОБЖ
Щербинин А.Н.",ОНЛАЙН,,,,,"ОНЛАЙН           
Иностранный язык
Кабакова М.В.",,"ОНЛАЙН           
Иностранный язык
Кабакова М.В.",,"ОНЛАЙН           
Иностранный язык
Кабакова М.В.",,,,"Иностранный язык в 
ПД
Шамина М.А.",310,"ОНЛАЙН           
География
Маркелова И.С.",,"ОНЛАЙН           
География
Маркелова И.С.",,"ОНЛАЙН           
География
Маркелова И.С.",,"Теория вероятностей и 
математическая 
статистика
Галдина Т.А.",407
,,4,14.50-16.20,"ОНЛАЙН           
География
Маркелова И.С.",,"ОНЛАЙН           
География
Маркелова И.С.",,,,,,,,,,,,,,,,"ОНЛАЙН           
Литература
Самарина Н.А.",,"ОНЛАЙН           
Литература
Самарина Н.А.",,"ОНЛАЙН           
Литература
Самарина Н.А.",,"Иностранный язык в 
ПД
Шамина М.А.",310
