День,,№,Время,22АП3-1,,22ЗИО3-1Д,,22ИНФ3-1,,22ИНФ3-2,,22ИС3-1,,22ИС3-2,,22ИС3-3Д,,22ИС3-4Д,,22ИС3-5Д,,22ИС-31,,22ИС-31Д,,22СА3-1,,22СА3-2Д,
,,,,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.
Понедельник,14.04.2025,1,09.00-10.30,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,ПРАКТИКА,,ПРАКТИКА,,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",
,,2,"10.50-11.35                        
11.55-12.40","Экономика 
организации
Фролова М.В.",403,,,,,,,"Численные методы
Галдина Т.А.",407,"Разработка кода ИС
Лутфулин Д.А.",107,"Проектирование и 
разработка веб-
приложений
Федотов И.В.",102,"Компьютерные сети
Сниховская И.В.",106,"Технология 
разработки ПО
Емелина Е.И.",103,,,,,"Эксплуатация 
объектов сетевой 
инфраструктуры
Чечурин К.С.",216а,"Иностранный язык в 
ПД
Кабакова М.В.",308
,,3,13.00-14.30,"Экономика 
организации
Фролова М.В.",403,,,,,,,"Безопасность 
жизнедеятельности
Щербинин А.Н.",117-А,"Графический дизайн и 
мультимедиа
Важенина Е.Г.",115,"Численные методы
Галдина Т.А.",407,"Проектирование и 
разработка веб-
приложений
Федотов И.В.",102,"Безопасность 
жизнедеятельности
Рабцевич С.А.",113,,,,,"Администрирование 
сетевых ОС
Чернышов О.В.",201,"Инженерная 
компьютерная 
графика
Сниховская И.В.",106
,,4,14.50-16.20,,,,,,,,,"Технология 
разработки ПО
Емелина Е.И.",103,"Проектирование и 
разработка веб-
приложений
Федотов И.В.",102,"Графический дизайн и 
мультимедиа
Важенина Е.Г.",115,"Безопасность 
жизнедеятельности
Рабцевич С.А.",113,"Основы философии
Логинов Я.С.",304,,,,,"Эксплуатация 
объектов сетевой 
инфраструктуры
Чечурин К.С.",216а,"Организация 
администрирования 
КС
Изотов С.А.",А-29
,,5,16.30-18.00,,,,,,,,,,,"Оптимизация веб-
приложений
Федотов И.В.",102,"Проектирование и 
разработка 
интерфейсов 
пользователя
Важенина Е.Г.",115,"Численные методы
Галдина Т.А.",407,,,,,,,,,"Администрирование 
сетевых ОС
Чернышов О.В.",201
Вторник,15.04.2025,1,09.00-10.30,"Технические 
измерения
Штыкова С.А.",211,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,"Иностранный язык в 
ПД
Шамина М.А.",310,"Компьютерные сети
Сниховская И.В.",106,,,"Графический дизайн и 
мультимедиа
Важенина Е.Г.",115,"Численные методы
Галдина Т.А.",407,ПРАКТИКА,,ПРАКТИКА,,"Программное 
обеспечение КС
Михайлов Д.В.",208,"Эксплуатация 
объектов сетевой 
инфраструктуры
Чечурин К.С.",216а
,,2,"10.50-11.35                        
11.55-12.40","Авиационные 
приборы и системы
Штыкова С.А.",211,,,,,,,"Численные методы
Галдина Т.А.",407,"Компьютерные сети
Сниховская И.В.",106,"Проектирование и 
разработка 
интерфейсов 
пользователя
Важенина Е.Г.",115,"Разработка кода ИС
Лутфулин Д.А.",107,"Обеспечение качества 
функционирования 
компьютерных систем
Михайлов Д.В.",208,,,,,"Исследование 
уязвимостей КС
Чернышов О.В.",201,"Эксплуатация 
объектов сетевой 
инфраструктуры
Чечурин К.С.",216а
,,3,13.00-14.30,"Авиационные 
приборы и системы
Штыкова С.А.",211,,,,,,,"Технология 
разработки ПО
Емелина Е.И.",103,"Проектирование и 
разработка 
интерфейсов 
пользователя
Важенина Е.Г.",115,"Разработка кода ИС
Лутфулин Д.А.",107,"Оптимизация веб-
приложений
Федотов И.В.",102,"Компьютерные сети
Сниховская И.В.",106,,,,,"Организация, 
принципы построения 
и функционирования 
КС
Чернышов О.В.",201,"Организация 
администрирования 
КС
Изотов С.А.",А-29
,,4,14.50-16.20,"Система 
автоматического 
управления
Штыкова С.А.",211,,,,,,,"Компьютерные сети
Сниховская И.В.",106,"Численные методы
Галдина Т.А.",407,"Проектирование и 
разработка веб-
приложений
Федотов И.В.",102,,,"Технология 
разработки ПО
Емелина Е.И.",103,,,,,"Организация 
администрирования 
КС
Изотов С.А.",А-29,"Организация, 
принципы построения 
и функционирования 
КС
Чернышов О.В.",201
,,5,16.30-18.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Среда,16.04.2025,1,09.00-10.30,"Иностранный язык
Шамина М.А.",310,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,"Обеспечение качества 
функционирования 
компьютерных систем
Михайлов Д.В.",208,,,"Графический дизайн и 
мультимедиа
Важенина Е.Г.",115,,,"Компьютерные сети
Сниховская И.В.",106,ПРАКТИКА,,ПРАКТИКА,,"Безопасность 
жизнедеятельности
Рабцевич С.А.",113,"Безопасность 
жизнедеятельности
Щербинин А.Н.",117-А
,,2,"10.50-11.35                        
11.55-12.40","Авиационные 
комплексы
Штыков В.П.",206,,,,,,,"Безопасность 
жизнедеятельности
Щербинин А.Н.",208,"Графический дизайн и 
мультимедиа
Важенина Е.Г.",115,"Иностранный язык в 
ПД
Шамина М.А.",310,"Компьютерные сети
Сниховская И.В.",106,"Обеспечение качества 
функционирования 
компьютерных систем
Михайлов Д.В.",208,,,,,"Безопасность 
жизнедеятельности
Рабцевич С.А.",113,"Физическая культура
Огнев А.А.","спорт 
зал"
,,3,13.00-14.30,"Оборудование 
авиационных 
организаций
Штыков В.П.",206,,,,,,,"Технология 
разработки ПО
Емелина Е.И.",103,"Иностранный язык в 
ПД
Шамина М.А.",310,"Компьютерные сети
Сниховская И.В.",106,"Графический дизайн и 
мультимедиа
Важенина Е.Г.",115,"Безопасность 
жизнедеятельности
Рабцевич С.А.",113,,,,,"Физическая культура
Демьяненко О.А.","спорт 
зал","Программное 
обеспечение КС
Михайлов Д.В.",208
,,4,14.50-16.20,"Правовое обеспечение 
ПД
Бужинец Н.Н.",301,,,,,,,"Компьютерные сети
Сниховская И.В.",106,"Безопасность 
жизнедеятельности
Рабцевич С.А.",113,"Физическая культура
Демьяненко О.А.","спорт 
зал","Проектирование и 
разработка 
интерфейсов 
пользователя
Важенина Е.Г.",115,"Технология 
разработки ПО
Емелина Е.И.",103,,,,,"Иностранный язык в 
ПД
Шамина М.А.",310,"Исследование 
уязвимостей КС
Чернышов О.В.",201
,,5,16.30-18.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Четверг,17.04.2025,1,09.00-10.30,"Физическая культура
Казак С.А.","спорт 
зал",ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,"Численные методы
Галдина Т.А.",407,"Оптимизация веб-
приложений
Федотов И.В.",102,,,"Разработка кода ИС
Лутфулин Д.А.",107,"Безопасность 
жизнедеятельности
Рабцевич С.А.",113,ПРАКТИКА,,ПРАКТИКА,,"1 час ССиТД +1 час 
ИКГ
Янкевич М.И.; Сниховская 
И.В.","109; 
106","Программное 
обеспечение КС
Михайлов Д.В.",208
,,2,"10.50-11.35                        
11.55-12.40","Охрана труда
Логинов Я.С.",304,,,,,,,"Физическая культура
Казак С.А.","спорт 
зал","Проектирование и 
разработка веб-
приложений
Федотов И.В.",102,"Разработка кода ИС
Лутфулин Д.А.",107,"Безопасность 
жизнедеятельности
Рабцевич С.А.",113,"Численные методы
Галдина Т.А.",407,,,,,"Программное 
обеспечение КС
Михайлов Д.В.",208,"1 час ССиТД +1 час 
ИКГ
Янкевич М.И.; Сниховская 
И.В.","109; 
106"
,,3,13.00-14.30,"Наладчик контрольно-
измерительных 
приборов и 
автоматики
Штыков В.П.",206,,,,,,,"Основы философии
Логинов Я.С.",304,"Численные методы
Галдина Т.А.",407,"Разработка кода ИС
Лутфулин Д.А.",107,"Проектирование и 
разработка веб-
приложений
Федотов И.В.",102,"Физическая культура
Казак С.А.","спорт 
зал",,,,,"Администрирование 
сетевых ОС
Чернышов О.В.",201,"Безопасность 
жизнедеятельности
Щербинин А.Н.",117-А
,,4,14.50-16.20,"Испытания и 
контроль качества 
авиационных 
приборов и 
Штыков В.П.",206,,,,,,,"Безопасность 
жизнедеятельности
Щербинин А.Н.",304,,,"Оптимизация веб-
приложений
Федотов И.В.",102,"Численные методы
Галдина Т.А.",407,,,,,,,"Организация 
администрирования 
КС
Изотов С.А.",А-29,,
,,5,16.30-18.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Пятница,18.04.2025,1,09.00-10.30,"Оборудование 
авиационных 
организаций
Штыков В.П.",206,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,"Иностранный язык в 
ПД
Шамина М.А.",310,"Разработка кода ИС
Лутфулин Д.А.",107,"Безопасность 
жизнедеятельности
Рабцевич С.А.",113,"Физическая культура
Журавлёв С.Ю.","спорт 
зал","Численные методы
Галдина Т.А.",407,ПРАКТИКА,,ПРАКТИКА,,"Организация, 
принципы построения 
и функционирования 
КС
Чернышов О.В.",201,,
,,2,"10.50-11.35                        
11.55-12.40","Авиационные 
комплексы
Штыков В.П.",206,,,,,,,"Технология 
разработки ПО
Емелина Е.И.",103,"Физическая культура
Журавлёв С.Ю.","спорт 
зал","Безопасность 
жизнедеятельности
Рабцевич С.А.",113,"Разработка кода ИС
Лутфулин Д.А.",107,"Основы философии
Логинов Я.С.",304,,,,,"Инженерная 
компьютерная 
графика
Сниховская И.В.",106,"Стандартизация, 
сертификация и 
техническое 
документоведение
Янкевич М.И.",109
,,3,13.00-14.30,"Наладчик контрольно-
измерительных 
приборов и 
автоматики
Штыков В.П.",206,,,,,,,"Основы философии
Логинов Я.С.",304,"Безопасность 
жизнедеятельности
Рабцевич С.А.",113,"Компьютерные сети
Сниховская И.В.",106,"Разработка кода ИС
Лутфулин Д.А.",107,"Иностранный язык в 
ПД
Шамина М.А.",310,,,,,"Стандартизация, 
сертификация и 
техническое 
документоведение
Янкевич М.И.",109,"Администрирование 
сетевых ОС
Чернышов О.В.",201
,,4,14.50-16.20,"Электрорадиоизмерен
ия
Штыков В.П.",206,,,,,,,,,"Разработка кода ИС
 
Лутфулин Д.А.",107,"Численные методы
Галдина Т.А.",407,"Иностранный язык в 
ПД
Шамина М.А.",310,"Технология 
разработки ПО
Емелина Е.И.",103,,,,,,,"Организация, 
принципы построения 
 
Чернышов О.В.",201
,,5,16.30-18.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
