День,,№,Время,24ИНФ1-1,,24ИНФ1-2,,24ИНФ1-3,,24ИНФ1-4,,24ИС1-1веб,,24ИС1-2веб,,24ИС1-3веб,,"24ИС-11-
1прогр",,"24ИС-11-
2прогр",,24СА1-1,,24СА1-2,,24СА1-3,,24СА-11,
,,,,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.
Понедельник,7.04.2025,1,09.00-10.30,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,ПРАКТИКА,,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",
,,2,"10.50-11.35                        
11.55-12.40","Физика
Полищук В.С.",410,"Основы технического 
перевода
Ермолаев А.А.",111,"Математика
Сутормина Е.П.",413,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Фирстова Е.Г.",212,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Янкевич М.И.",109,"Основы дизайн-
мышления
Климова Г.Л.",312,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Ганенко Е.А.",216,,,"Элементы высшей 
математики
Ефимова О.И.",409,"Автоматизированные 
системы обработки 
информации и баз 
данных
Воронина С.Ю.",Б-29,"Химия
Першунина Е.В.",414,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Кяшкин А.А.","спорт 
зал","История России
Калмыкова Е.И.",307
,,3,13.00-14.30,"Химия
Першунина Е.В.",414,"Физика
Полищук В.С.",410,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Воронина С.Ю.",Б-29,"Математика
Ефимова О.И.",409,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Янкевич М.И.",109,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Ганенко Е.А.",216,"Проектный 
менеджмент в 
разработке и 
сопровождении ПО
Климова Г.Л.",312,,,"Основы применения 
методов 
искусственного 
интеллекта в 
Киселева С.В.",205,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Кяшкин А.А.",414,"Математика
Сутормина Е.П.",413,"Информатика
Фирстова Е.Г.",212,"Основы бережливого 
производства
Маркелова И.С.",416
,,4,14.50-16.20,"Математика
Сутормина Е.П.",413,"Введение в нейросети 
и искусственный 
интеллект
Киселева С.В.",205,"Русский язык
Самарина Н.А.",305,"Физика
Полищук В.С.",410,"Математика
Ефимова О.И.",409,"Информатика
Ганенко Е.А.",216,"Индивидуальный 
проект
Бужинец Н.Н.",301,,,,,"Химия
Першунина Е.В.",414,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Кяшкин А.А.",413,"Информатика
Фирстова Е.Г.",212,"Компьютерные сети
Чернышов О.В.",201
,,5,16.30-18.00,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Кокорин В.А.",116,,,,,"Русский язык
Самарина Н.А.",305,,,"Химия
Першунина Е.В.",414,"Математика
Сутормина Е.П.",413,,,,,"Основы безопасности 
на производстве
Логинов Я.С.",304,"Физика
Полищук В.С.",410,,,"Основы 
алгоритмизации и 
программирования
Воронина С.Ю.",Б-29
Вторник,8.04.2025,1,09.00-10.30,"ОНЛАЙН               
Русский язык
Самарина Н.А.",,"ОНЛАЙН               
Русский язык
Самарина Н.А.",,"ОНЛАЙН               
История
Калмыкова Е.И.",,"ОНЛАЙН               
История
Калмыкова Е.И.",,"ОНЛАЙН               
Обществознание
Логинов Я.С.",,"ОНЛАЙН               
Обществознание
Логинов Я.С.",,"ОНЛАЙН               
Обществознание
Логинов Я.С.",,ПРАКТИКА,,"Основы 
проектирования баз 
данных
Смирнов Е.М.",215,"ОНЛАЙН               
Биология
Першунина Е.В.",,"ОНЛАЙН               
Биология
Першунина Е.В.",,"ОНЛАЙН               
Биология
Першунина Е.В.",,"Основы 
электротехники
Полищук В.С.",410
,,2,"10.50-11.35                        
11.55-12.40","ОНЛАЙН               
Биология
Першунина Е.В.",,"ОНЛАЙН               
Биология
Першунина Е.В.",,"ОНЛАЙН               
Обществознание
Логинов Я.С.",,"ОНЛАЙН               
Обществознание
Логинов Я.С.",,"ОНЛАЙН               
Литература
Самарина Н.А.",,"ОНЛАЙН               
Литература
Самарина Н.А.",,"ОНЛАЙН               
Литература
Самарина Н.А.",,,,"Основы 
алгоритмизации и 
программирования
Емелина Е.И.",103,"ОНЛАЙН               
История
Калмыкова Е.И.",,"ОНЛАЙН               
История
Калмыкова Е.И.",,"ОНЛАЙН               
История
Калмыкова Е.И.",,"Основы 
электротехники
Полищук В.С.",410
,,3,13.00-14.30,"ОНЛАЙН               
Информатика
Фирстова Е.Г.",,"ОНЛАЙН               
Информатика
Фирстова Е.Г.",,"ОНЛАЙН               
ОБЖ
Щербинин А.Н.",,"ОНЛАЙН               
ОБЖ
Щербинин А.Н.",,"ОНЛАЙН               
География
Маркелова И.С.",,"ОНЛАЙН               
География
Маркелова И.С.",,"ОНЛАЙН               
География
Маркелова И.С.",,,,"Технология работ по 
профессии рабочего 
Оператор ЭВМ и ВМ 
(Разработка 
Лутфулин Д.А.",107,"ОНЛАЙН               
Русский язык
Самарина Н.А.",,"ОНЛАЙН               
Русский язык
Самарина Н.А.",,"ОНЛАЙН               
Русский язык
Самарина Н.А.",,"Теория вероятностей и 
математическая 
статистика
Галдина Т.А.",407
,,4,14.50-16.20,,,,,"ОНЛАЙН               
Биология
Першунина Е.В.",,"ОНЛАЙН               
Биология
Першунина Е.В.",,,,,,,,,,"Разработка 
программных модулей
Ларионов Д.И.",116,"ОНЛАЙН               
Иностранный язык
Кабакова М.В.",,"ОНЛАЙН               
Иностранный язык
Кабакова М.В.",,"ОНЛАЙН               
Иностранный язык
Кабакова М.В.",,"Организация, 
принципы построения 
и функционирования 
КС
Чернышов О.В.",201
,,5,16.30-18.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Среда,9.04.2025,1,09.00-10.30,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Кокорин В.А.",116,"Математика
Ефимова О.И.",409,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Воронина С.Ю.",Б-29,"Основы технического 
перевода
Ермолаев А.А.",111,"Информатика
Ганенко Е.А.",216,"Моделирование 
физических процессов 
в приложениях
Емелина Е.И.",103,"Математика
Сутормина Е.П.",413,ПРАКТИКА,,"Разработка серверной 
и интерфейсной 
частей приложения 
(Backend, Frontend на 
Киселева С.В.",205,"Физика
Полищук В.С.",410,,,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Кяшкин А.А.",216а,"Компьютерные сети
Чернышов О.В.",201
,,2,"10.50-11.35                        
11.55-12.40","Основы 
электротехники и 
чтение электрических 
схем
Полищук В.С.",410,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Изотов С.А.",А-29,"Математика
Сутормина Е.П.",413,"Математика
Ефимова О.И.",409,"Индивидуальный 
проект
Бужинец Н.Н.",301,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Ганенко Е.А.",216,"Моделирование 
физических процессов 
в приложениях
Емелина Е.И.",103,,,"Основы применения 
методов 
искусственного 
интеллекта в 
Киселева С.В.",205,"Физическая культура
Огнев А.А.","спорт 
зал","Автоматизированные 
системы обработки 
информации и баз 
данных
Воронина С.Ю.",Б-29,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Кяшкин А.А.",216а,"Организация, 
принципы построения 
и функционирования 
КС
Чернышов О.В.",201
,,3,13.00-14.30,"Основы интернета 
вещей
Чернышов О.В.",201,"Физические основы и 
принципы связи
Будько В.А.",111,"Основы технического 
перевода
Ермолаев А.А.",111,"Введение в нейросети 
и искусственный 
интеллект
Киселева С.В.",205,"Моделирование 
физических процессов 
в приложениях
Емелина Е.И.",103,"Информатика
Ганенко Е.А.",216,"Физика
Полищук В.С.",410,,,"Основы философии
Бужинец Н.Н.",301,"Программирование на 
языке сценариев 
командной оболочки
Изотов С.А.",А-29,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Кяшкин А.А.",414,"Математика
Сутормина Е.П.",413,"Основы 
проектирования баз 
данных
Смирнов Е.М.",215
,,4,14.50-16.20,,,"Иностранный язык
Ермолаев А.А.",111,,,"Основы интернета 
вещей
Будько В.А.",205,"Физика
Полищук В.С.",410,"Индивидуальный 
проект
Бужинец Н.Н.",301,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Ганенко Е.А.",216,,,"Основы 
алгоритмизации и 
программирования
Емелина Е.И.",103,"Математика
Ефимова О.И.",409,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Кяшкин А.А.",414,"Физическая культура
Огнев А.А.","спорт 
зал","Физическая культура
Демьяненко О.А.","спорт 
зал"
,,5,16.30-18.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Четверг,10.04.2025,1,09.00-10.30,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Кокорин В.А.",116,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Изотов С.А.",А-29,"Введение в нейросети 
и искусственный 
интеллект
Киселева С.В.",205,"Математика
Ефимова О.И.",409,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Янкевич М.И.",109,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Ганенко Е.А.",216,"Основы дизайн-
мышления
Климова Г.Л.",312,ПРАКТИКА,,"Основы 
алгоритмизации и 
программирования
Емелина Е.И.",103,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Кяшкин А.А.",216а,"Основы безопасности 
на производстве
Логинов Я.С.",304,"Физика
Полищук В.С.",410,"Основы 
алгоритмизации и 
программирования
Воронина С.Ю.",Б-29
,,2,"10.50-11.35                        
11.55-12.40","Физика
Полищук В.С.",410,"Физическая культура
Казак С.А.","спорт 
зал","Физические основы и 
принципы связи
Будько В.А.",Б-29,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Фирстова Е.Г.",212,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Янкевич М.И.",109,"Проектный 
менеджмент в 
разработке и 
сопровождении ПО
Климова Г.Л.",312,"Информатика
Ганенко Е.А.",216,,,"Системное 
программирование
Ковалева Е.А.",104,"Практическая 
подготовка по 
технологии 
выполнения работ по 
Кяшкин А.А.",216а,"Программирование на 
языке сценариев 
командной оболочки
Изотов С.А.",А-29,"Автоматизированные 
системы обработки 
информации и баз 
данных
Воронина С.Ю.",Б-29,"Теория вероятностей и 
математическая 
статистика
Галдина Т.А.",407
