День,,№,Время,22АП3-1,,22ЗИО3-1Д,,22ИНФ3-1,,22ИНФ3-2,,22ИС3-1,,22ИС3-2,,22ИС3-3Д,,22ИС3-4Д,,22ИС3-5Д,,22ИС-31,,22ИС-31Д,,22СА3-1,,22СА3-2Д,
,,,,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.
Понедельник,7.04.2025,1,09.00-10.30,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,ПРАКТИКА,,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,ПРАКТИКА,,ПРАКТИКА,,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",,"Информационно-
просветительское
занятие ""Разговоры о 
важном""",
,,2,"10.50-11.35                        
11.55-12.40","Правовое обеспечение 
ПД
Бужинец Н.Н.",301,,,"Энергоснабжение 
телекоммуникационн
ых систем
Опритов А.А.",117,"Монтаж и 
обслуживание 
оптических систем 
передачи 
Котов О.В.",117-А,"Технология 
разработки ПО
Емелина Е.И.",103,"Проектирование и 
разработка веб-
приложений
Федотов И.В.",102,"Тестирование ИС
Ковалева Е.А.",104,"Разработка кода ИС
Лутфулин Д.А.",107,"Численные методы
Галдина Т.А.",407,,,,,"Иностранный язык в 
ПД
Шамина М.А.",310,"Организация, 
принципы построения 
и функционирования 
КС
Чернышов О.В.",201
,,3,13.00-14.30,"Иностранный язык
Шамина М.А.",310,,,"Монтаж и 
обслуживание 
оптических систем 
передачи 
Котов О.В.",117-А,"Энергоснабжение 
телекоммуникационн
ых систем
Опритов А.А.",117,"Безопасность 
жизнедеятельности
Щербинин А.Н.",216а,"Тестирование ИС
Ковалева Е.А.",104,"Разработка кода ИС
Лутфулин Д.А.",107,"Проектирование и 
разработка веб-
приложений
Федотов И.В.",102,"Основы философии
Логинов Я.С.",304,,,,,"Инженерная 
компьютерная 
графика
Сниховская И.В.",106,"Иностранный язык в 
ПД
Кабакова М.В.",308
,,4,14.50-16.20,,,,,"Монтаж и 
обслуживание 
инфокоммуникационн
ых систем с 
Котов О.В.",117-А,"Основы бережливого 
производства
Маркелова И.С.",416,"Основы философии
Логинов Я.С.",304,"Разработка кода ИС
Лутфулин Д.А.",107,"Иностранный язык в 
ПД
Шамина М.А.",310,"Численные методы
Галдина Т.А.",407,"Компьютерные сети
Сниховская И.В.",106,,,,,"Стандартизация, 
сертификация и 
техническое 
документоведение
Янкевич М.И.",109,"Безопасность 
жизнедеятельности
Щербинин А.Н.",308
,,5,16.30-18.00,,,,,,,"Основы бережливого 
производства
Маркелова И.С.",416,"Безопасность 
жизнедеятельности
Щербинин А.Н.",216а,,,,,"Тестирование ИС
Ковалева Е.А.",104,,,,,,,"Эксплуатация 
объектов сетевой 
инфраструктуры
Чечурин К.С.",109,"Администрирование 
сетевых ОС
Чернышов О.В.",201
Вторник,8.04.2025,1,09.00-10.30,"Авиационные 
приборы и системы
Штыкова С.А.",211,ПРАКТИКА,,"Консультация Монтаж 
и эксплуатация 
мультисервисных 
сетей абонентского 
Чечурин К.С.",216а,"Энергоснабжение 
телекоммуникационн
ых систем
Опритов А.А.",117,"Управление и 
автоматизация БД
Ларионов Д.И.",116,,,"Разработка кода ИС
Лутфулин Д.А.",107,"Тестирование ИС
Ковалева Е.А.",104,"Технология 
разработки ПО
Емелина Е.И.",103,ПРАКТИКА,,ПРАКТИКА,,"Программное 
обеспечение КС
Михайлов Д.В.",208,"Самоподготовка 
Инженерная 
компьютерная 
графика
Сниховская И.В.",
,,2,"10.50-11.35                        
11.55-12.40","Система 
автоматического 
управления
Штыкова С.А.",211,,,"ЭКЗАМЕН МиЭМСАД + 
МиЭСВиСБ Чечурин К.С.; 
Опритов А.А.",216а; 117,"Энергоснабжение 
телекоммуникационн
ых систем
Опритов А.А.",117,"Управление и 
автоматизация БД
Ларионов Д.И.",116,"Тестирование ИС
Ковалева Е.А.",104,"Численные методы
Галдина Т.А.",407,"Разработка кода ИС
Лутфулин Д.А.",107,"Технология 
разработки и защиты 
БД
Смирнов Е.М.",215,,,,,"Администрирование 
сетевых ОС
Чернышов О.В.",201,"Программное 
обеспечение КС
Михайлов Д.В.",208
,,3,13.00-14.30,"Оборудование 
авиационных 
организаций
Штыков В.П.",206,,,,,,,"Технология 
разработки и защиты 
БД
Смирнов Е.М.",215,"Компьютерные сети
Сниховская И.В.",106,"Тестирование ИС
Ковалева Е.А.",104,"Графический дизайн и 
мультимедиа
Важенина Е.Г.",115,"Управление и 
автоматизация БД
Ларионов Д.И.",116,,,,,"Организация, 
принципы построения 
и функционирования 
КС
Чернышов О.В.",201,"Программное 
обеспечение КС
Михайлов Д.В.",208
,,4,14.50-16.20,"Авиационные 
электрические 
машины
Штыков В.П.",206,,,,,,,"Технология 
разработки ПО
Емелина Е.И.",103,"Разработка кода ИС
Лутфулин Д.А.",107,"Графический дизайн и 
мультимедиа
Важенина Е.Г.",115,,,"Технология 
разработки и защиты 
БД
Смирнов Е.М.",215,,,,,"Физическая культура
Демьяненко О.А.","спорт 
зал","Эксплуатация 
объектов сетевой 
инфраструктуры
Чечурин К.С.",208
,,5,16.30-18.00,,,,,,,,,,,"Графический дизайн и 
мультимедиа
Важенина Е.Г.",115,,,,,,,,,,,,,"Администрирование 
сетевых ОС
Чернышов О.В.",201
Среда,9.04.2025,1,09.00-10.30,"Испытания и 
контроль качества 
авиационных 
приборов и 
Штыков В.П.",206,ПРАКТИКА,,,,"Консультация Монтаж 
и эксплуатация КС
Котов О.В.",117-А,"Технология 
разработки и защиты 
БД
Смирнов Е.М.",215,"Безопасность 
жизнедеятельности
Рабцевич С.А.",113,"Оптимизация веб-
приложений
Федотов И.В.",102,"Компьютерные сети
Сниховская И.В.",106,"Физическая культура
Казак С.А.","спорт 
зал",ПРАКТИКА,,ПРАКТИКА,,"Организация 
администрирования 
КС
Изотов С.А.",А-29,"Физическая культура
Огнев А.А.","спорт 
зал"
,,2,"10.50-11.35                        
11.55-12.40","Электрорадиоизмерен
ия
Штыков В.П.",206,,,"Иностранный язык в 
ПД
Ермолаев А.А.
Энергоснабжение 
телекоммуникационн
ых систем
Опритов А.А.
Монтаж и 
обслуживание 
оптических систем 
передачи 
Котов О.В.","111
117
117-А","ЭКЗАМЕН Монтаж и 
эксплуатация КС + 
Монтаж и эксплуатация 
направляющих систем   
Котов О.В.; Васильев В.А.",117-А; 209,"Физическая культура
Казак С.А.",212,"Физическая культура
Журавлёв С.Ю.","спорт 
зал","Компьютерные сети
Сниховская И.В.",106,"Проектирование и 
разработка веб-
приложений
Федотов И.В.",102,"Технология 
разработки и защиты 
БД
Смирнов Е.М.",215,,,,,"Безопасность 
жизнедеятельности
Рабцевич С.А.",113,"Программное 
обеспечение КС
Михайлов Д.В.",208
,,3,13.00-14.30,"Авиационные 
комплексы
Штыков В.П.",206,,,,,,,"Обеспечение качества 
функционирования 
компьютерных систем
Михайлов Д.В.",208,"Оптимизация веб-
приложений
Федотов И.В.",102,"Физическая культура
Демьяненко О.А.","спорт 
зал","Физическая культура
Журавлёв С.Ю.","спорт 
зал","Компьютерные сети
Сниховская И.В.",106,,,,,"Безопасность 
жизнедеятельности
Рабцевич С.А.",113,,
,,4,14.50-16.20,"Оборудование 
авиационных 
организаций
Штыков В.П.",206,,,,,,,"Компьютерные сети
Сниховская И.В.",106,,,"Проектирование и 
разработка веб-
приложений
Федотов И.В.",102,"Безопасность 
жизнедеятельности
Рабцевич С.А.",113,,,,,,,"Администрирование 
сетевых ОС
Чернышов О.В.",201,,
,,5,16.30-18.00,,,,,"БЖ
Рабцевич С.А.",113,,,,,,,,,,,,,,,,,,,,
