День,,№,Время,21АП4-1,,21ИНФ4-1,,"21ИНФ-41 + 
20ИНФ5-1",,"21ИС4-1 + 
21ИС4-4Д",,"21ИС4-2 + 
21ИС4-5Д",,21ИС4-3Д,,"21СА4-1 + 
21СА4-1Д",
,,,,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.,"Дисциплина,преподава
тель",Ауд.
Понедельник,7.04.2025,1,09.00-10.30,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,
,,2,"10.50-11.35                        
11.55-12.40",,,,,,,,,,,,,,
,,3,13.00-14.30,,,,,,,,,,,,,,
,,4,14.50-16.20,,,,,,,,,,,,,,
,,5,16.30-18.00,,,,,,,,,,,,,,
Вторник,8.04.2025,1,09.00-10.30,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,
,,2,"10.50-11.35                        
11.55-12.40",,,,,,,,,,,,,,
,,3,13.00-14.30,,,,,,,,,,,,,,
,,4,14.50-16.20,,,,,,,,,,,,,,
,,5,16.30-18.00,,,,,,,,,,,,,,
Среда,9.04.2025,1,09.00-10.30,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,
,,2,"10.50-11.35                        
11.55-12.40",,,,,,,,,,,,,,
,,3,13.00-14.30,,,,,,,,,,,,,,
,,4,14.50-16.20,,,,,,,,,,,,,,
,,5,16.30-18.00,,,,,,,,,,,,,,
Четверг,10.04.2025,1,09.00-10.30,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,
,,2,"10.50-11.35                        
11.55-12.40",,,,,,,,,,,,,,
,,3,13.00-14.30,,,,,,,,,,,,,,
,,4,14.50-16.20,,,,,,,,,,,,,,
,,5,16.30-18.00,,,,,,,,,,,,,,
Пятница,11.04.2025,1,09.00-10.30,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,,ПРАКТИКА,
,,2,"10.50-11.35                        
11.55-12.40",,,,,,,,,,,,,,
,,3,13.00-14.30,,,,,,,,,,,,,,
,,4,14.50-16.20,,,,,,,,,,,,,,
,,5,16.30-18.00,,,,,,,,,,,,,,
